threshold,flagged,tp,fp,precision,recall,benefit,cost,net,flag_rate
0.01,21310,2123,19187,0.0996245893946504,0.9567372690401081,1040707.2995999999,2302440.0,-1261732.7004,0.7103333333333334
0.02,16067,1979,14088,0.12317171842907823,0.8918431726002704,983672.06895,1690560.0,-706887.93105,0.5355666666666666
0.03,14618,1927,12691,0.13182377890272268,0.868409193330329,953038.3738499999,1522920.0,-569881.6261500001,0.4872666666666667
0.04,11245,1779,9466,0.15820364606491774,0.8017124831004957,866999.87145,1135920.0,-268920.12855,0.37483333333333335
0.05,10355,1726,8629,0.16668276195074844,0.7778278503830555,840436.5114,1035480.0,-195043.48860000004,0.3451666666666667
0.06,7618,1511,6107,0.1983460225781045,0.6809373591707977,725596.4799,732840.0,-7243.520099999965,0.25393333333333334
0.07,7533,1506,6027,0.19992035045798487,0.6786840919333033,723225.7206000001,723240.0,-14.279399999883026,0.2511
0.08,5603,1314,4289,0.23451722291629484,0.5921586300135196,641049.7409999999,514680.0,126369.74099999992,0.18676666666666666
0.09,5602,1314,4288,0.23455908604069975,0.5921586300135196,641049.7409999999,514560.0,126489.74099999992,0.18673333333333333
0.1,4728,1190,3538,0.2516920473773266,0.5362776025236593,590288.1169499999,424560.0,165728.11694999994,0.1576
0.11,4728,1190,3538,0.2516920473773266,0.5362776025236593,590288.1169499999,424560.0,165728.11694999994,0.1576
0.12,2979,917,2062,0.30782141658274587,0.41324921135646686,453487.977,247440.0,206047.977,0.0993
0.13,2979,917,2062,0.30782141658274587,0.41324921135646686,453487.977,247440.0,206047.977,0.0993
0.14,2979,917,2062,0.30782141658274587,0.41324921135646686,453487.977,247440.0,206047.977,0.0993
0.15,2979,917,2062,0.30782141658274587,0.41324921135646686,453487.977,247440.0,206047.977,0.0993
0.16,2978,916,2062,0.3075889858965749,0.412798557908968,453340.21545,247440.0,205900.21545000002,0.09926666666666667
0.17,2255,760,1495,0.3370288248337029,0.3424966200991438,392169.72555,179400.0,212769.72554999997,0.07516666666666667
0.18,2254,760,1494,0.33717834960070986,0.3424966200991438,392169.72555,179280.0,212889.72554999997,0.07513333333333333
0.19,2054,712,1342,0.3466407010710808,0.32086525461919785,372341.50064999994,161040.0,211301.50064999994,0.06846666666666666
0.2,2054,712,1342,0.3466407010710808,0.32086525461919785,372341.50064999994,161040.0,211301.50064999994,0.06846666666666666
0.21,1426,553,873,0.38779803646563815,0.24921135646687698,305010.40995,104760.0,200250.40995,0.04753333333333333
0.22,1426,553,873,0.38779803646563815,0.24921135646687698,305010.40995,104760.0,200250.40995,0.04753333333333333
0.23,1425,553,872,0.3880701754385965,0.24921135646687698,305010.40995,104640.0,200370.40995,0.0475
0.24,1425,553,872,0.3880701754385965,0.24921135646687698,305010.40995,104640.0,200370.40995,0.0475
0.25,1425,553,872,0.3880701754385965,0.24921135646687698,305010.40995,104640.0,200370.40995,0.0475
0.26,1424,553,871,0.3883426966292135,0.24921135646687698,305010.40995,104520.0,200490.40995,0.047466666666666664
0.27,1423,553,870,0.38861560084328883,0.24921135646687698,305010.40995,104400.0,200610.40995,0.047433333333333334
0.28,1423,553,870,0.38861560084328883,0.24921135646687698,305010.40995,104400.0,200610.40995,0.047433333333333334
0.29,842,389,453,0.46199524940617576,0.17530419107706174,238355.8137,54360.0,183995.8137,0.028066666666666667
0.3,842,389,453,0.46199524940617576,0.17530419107706174,238355.8137,54360.0,183995.8137,0.028066666666666667
0.31,842,389,453,0.46199524940617576,0.17530419107706174,238355.8137,54360.0,183995.8137,0.028066666666666667
0.32,841,389,452,0.4625445897740785,0.17530419107706174,238355.8137,54240.0,184115.8137,0.028033333333333334
0.33,841,389,452,0.4625445897740785,0.17530419107706174,238355.8137,54240.0,184115.8137,0.028033333333333334
0.34,841,389,452,0.4625445897740785,0.17530419107706174,238355.8137,54240.0,184115.8137,0.028033333333333334
0.35,841,389,452,0.4625445897740785,0.17530419107706174,238355.8137,54240.0,184115.8137,0.028033333333333334
0.36,841,389,452,0.4625445897740785,0.17530419107706174,238355.8137,54240.0,184115.8137,0.028033333333333334
0.37,599,310,289,0.5175292153589316,0.13970256872465076,184707.62774999999,34680.0,150027.62774999999,0.019966666666666667
0.38,599,310,289,0.5175292153589316,0.13970256872465076,184707.62774999999,34680.0,150027.62774999999,0.019966666666666667
0.39,599,310,289,0.5175292153589316,0.13970256872465076,184707.62774999999,34680.0,150027.62774999999,0.019966666666666667
0.4,599,310,289,0.5175292153589316,0.13970256872465076,184707.62774999999,34680.0,150027.62774999999,0.019966666666666667
0.41,578,303,275,0.5242214532871973,0.13654799459215863,176702.1885,33000.0,143702.1885,0.019266666666666668
0.42,578,303,275,0.5242214532871973,0.13654799459215863,176702.1885,33000.0,143702.1885,0.019266666666666668
0.43,577,302,275,0.5233968804159446,0.13609734114465977,176227.55415,33000.0,143227.55415,0.019233333333333335
0.44,577,302,275,0.5233968804159446,0.13609734114465977,176227.55415,33000.0,143227.55415,0.019233333333333335
0.45,385,217,168,0.5636363636363636,0.09779179810725552,129754.99215,20160.0,109594.99215,0.012833333333333334
0.46,383,217,166,0.566579634464752,0.09779179810725552,129754.99215,19920.0,109834.99215,0.012766666666666667
0.47,383,217,166,0.566579634464752,0.09779179810725552,129754.99215,19920.0,109834.99215,0.012766666666666667
0.48,382,217,165,0.5680628272251309,0.09779179810725552,129754.99215,19800.0,109954.99215,0.012733333333333333
0.49,382,217,165,0.5680628272251309,0.09779179810725552,129754.99215,19800.0,109954.99215,0.012733333333333333
0.5,382,217,165,0.5680628272251309,0.09779179810725552,129754.99215,19800.0,109954.99215,0.012733333333333333
0.51,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.52,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.53,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.54,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.55,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.56,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.57,340,196,144,0.5764705882352941,0.08832807570977919,111063.5523,17280.0,93783.5523,0.011333333333333334
0.58,243,149,94,0.6131687242798354,0.06714736367733214,80911.81935,11280.0,69631.81935,0.0081
0.59,242,148,94,0.6115702479338843,0.06669671022983326,79815.82860000001,11280.0,68535.82860000001,0.008066666666666666
0.6,162,106,56,0.654320987654321,0.047769265434880574,56930.345100000006,6720.0,50210.345100000006,0.0054
